EM_Tort_ID,Sample_name (collector tort ID),Date_collected,Sex,UTM_Zone,Easting,Northing,MCL_MM,Initial_Weight,Location_ID,Tissue Box,Shearing cycles,Cleaned,Sheared DNA concentration (post cleanup if applicable),uL to get 450ng,Actual ng going into lib prep,beads to add,Adapter,Lib prepped?,Lib plate well,Final lib concentration (ng/uL),Yield,Final library concentration (nM),Sent to Berk?,Lane Number,Berkeley Sample #
etort-1,bh510,04/08/05,Male,11N,518875,4087237,296,,Oasis Valley,2005 box 1,7,No,22.28680279,20.19132149,450,60.57396447,BFIDT-001,6-Jul-14,A1,4.026198273,29.53%,3.67,16-Jul-14,HSEM004,HSEM004a
etort-2,bh522,05/03/05,Female,11N,530701,3756507,221,,Coachella Valley,2005 box 1,7,No,17.55914043,25.62767818,450,76.88303455,BFIDT-004,6-Jul-14,B1,3.395058053,24.90%,2.62,16-Jul-14,HSEM004,HSEM004b
etort-3,bh525,05/05/05,Female,11N,596149,3787846,237,,Twentynine Palms,2005 box 1,7,No,18.86797,23.84994252,450,71.54982756,BFIDT-006,6-Jul-14,C1,2.766299494,20.29%,3.35,16-Jul-14,HSEM004,HSEM004c
etort-4,bh527,05/06/05,Female,11N,619807,3792360,216,,Twentynine Palms,2005 box 1,7,No,16.79719031,26.79019477,450,80.37058432,BFIDT-009,6-Jul-14,D1,5.421256326,39.76%,5.06,16-Jul-14,HSEM004,HSEM004d
etort-5,bh528,05/07/05,Female,11N,619728,3833377,216,,Bristol Mountains,2005 box 1,7,No,14.62206084,30.77541566,450,92.32624697,BFIDT-010,6-Jul-14,E1,2.079190235,15.25%,2.65,16-Jul-14,HSEM004,HSEM004e
etort-6,FW0501,04/19/05,Female,11N,704768,3895990,222,,Piute-Eldorado DWMA,2005 box 1,7,No,17.93178165,25.09510815,450,75.28532446,BFIDT-011,6-Jul-14,F1,3.041381364,22.30%,2.62,16-Jul-14,HSEM004,HSEM004f
etort-7,FW0508,05/05/05,Male,11N,705240,3921782,237,,Lake Mead NRA,2005 box 1,7,No,20.230156,22.24402026,450,66.73206079,BFIDT-012,6-Jul-14,G1,3.692170289,27.08%,4.41,16-Jul-14,HSEM004,HSEM004g
etort-8,FW0704,05/02/05,Female,11N,677570,3921360,229,,Piute-Eldorado DWMA,2005 box 1,7,No,12.04928865,37.34660304,450,112.0398091,BFIDT-014,6-Jul-14,H1,4.45370646,32.66%,4.32,16-Jul-14,HSEM004,HSEM004h
etort-9,FW1230,05/27/05,Female,11N,716592,3795124,218,,Chemehuevi,2005 box 1,7,No,13.68688612,32.87818689,450,98.63456068,BFIDT-015,6-Jul-14,A2,1.065793391,7.82%,1.16,16-Jul-14,HSEM004,HSEM004i
etort-10,FW1504,04/17/05,Male,11N,450144,3843725,249,,Fremont-Kramer,2005 box 1,7,No,18.59848801,24.19551524,450,72.58654572,BFIDT-016,6-Jul-14,B2,1.461149152,10.72%,1.62,16-Jul-14,HSEM004,HSEM004j
etort-11,FW2205,04/18/05,Male,11N,524710,3872836,250,,Superior-Cronese,2005 box 1,7,No,17.82939461,25.23921927,450,75.71765782,BFIDT-001,6-Jul-14,C2,0.959214052,7.03%,1.40,16-Jul-14,HSEM005,HSEM005a
etort-12,FW2722,05/06/05,Male,11N,612665,3932570,241,,Ivanpah Valley,2005 box 1,7,No,13.73391273,32.76560793,450,98.2968238,BFIDT-004,6-Jul-14,D2,0.716880024,5.26%,1.06,16-Jul-14,HSEM005,HSEM005b
etort-13,FW2726,05/12/05,Female,11N,618210,3742882,216,,Joshua Tree NP/Pinto Basin,2005 box 1,7,No,13.5434252,33.2264544,450,99.67936321,BFIDT-006,6-Jul-14,E2,0.959809467,7.04%,1.21,16-Jul-14,HSEM005,HSEM005c
etort-14,FW2908,05/11/05,Male,11N,606838,3722256,189,,Chuckwalla Valley and Bench,2005 box 1,7,No,13.93094827,32.3021801,450,96.9065403,BFIDT-009,6-Jul-14,F2,1.656445371,12.15%,1.70,16-Jul-14,HSEM005,HSEM005d
etort-15,bh534,05/16/05,Male,11N,723009,4037525,246,,Valley of Fire,2005 box 2,7,No,15.44353831,29.13840022,450,87.41520067,BFIDT-010,6-Jul-14,G2,2.11789223,15.53%,1.99,16-Jul-14,HSEM005,HSEM005e
etort-16,bh537,05/20/05,Unknown,11N,594399,3853818,169,,Bristol Mountains,2005 box 2,7,No,17.57164117,25.60944625,450,76.82833874,BFIDT-011,6-Jul-14,H2,1.209883894,8.87%,1.20,16-Jul-14,HSEM005,HSEM005f
